Date,Text
2015-05-19,@Abhimanyuth @Phuchhe5 हो रहेछ जमाना  बद्लिएछ  कुत्ता स्याल खरायो मुसो बिरालो कै रहेछ मया पिरिम मा
2015-05-19,@SSoul999 म त यता कटारी भन्ने ठाउ तिर हो ।
2015-05-19,"उत्तिष्टो उत्तिष्ट गोविन्द उत्तिष्ट गरुडध्वजा 
उत्तिष्ट कमलाकान्त त्रैलोक्यं मंगलम कुरु | http://t.co/hQTAvJRdt4"
2015-05-19,@biyogi2 साथी हरु कहाँ निर गल्ती गर्छ भनेर कुरेर बसे जस्तो लाग्यो ।सुदार गर्ने मौका दिएको मा ध्न्यवाद ।
2015-05-19,"कोइ कोइ आज फेव कुमार भै टोपलेको छ...
.
.
.
.
.

भन्ने हाम्लाई लागीराको छैन..😆😆😂😂@SSoul999"
2015-05-19,के छ चुले ब्रो??
2015-05-19,"समय गतिशील छ, रोक्दैन | कृपया म समयलाई रोक्दैछु भनेर तपाइको मुर्खता यता नसुनाउनु होला | नेपाली जनता कुकुर भुकेको र शिंह गर्जेको स्पष्ट बुझछन"
2015-05-19,"तिमी डाम्ना बुढा यस्सो घुम्न आउन यता - अल्लि गोरे हुन्थेउ, रात पर्दा त तिम्रो देखिने भन्या त्यै दाँत न हो :))"
2015-05-19,त्यसतै दाजु | नमस्कार गरे @ghamaraj
2015-05-19,यसलाई अति रन्जित नबनाईयोस् म रेलगाडीमा छु😂😂😂
2015-05-19,सुभ बिहानी सम्पुर्ण #csita हरु @kanxoramesh @adsl_twitte @archanzels @ayush_dhital @crushcandy2 @rwoseni @theromancek
2015-05-19,"आज रात शान्त रह्यो। भूमिगत उथलपुथल अब शान्त हुँदै गएको छ।
विपदका घाउहरू सक्दो छिटो पुर्नु छ। अरू घाउ नथपिउन्।
राजनीति पनि अब अरू फोहर नहोस्।"
2015-05-19,@ghamaraj सर नमस्कार !अस्ति हाम रेडियो को बारेमा जान्ने मौका मिल्यो धन्यबाद भने है ! :) मलाइ पनि प्रयोग गर्न मन लायो रमाइलो को लागि
2015-05-19,@chule420vezza त्यहि भएर  टाउको बटारियको  हो
2015-05-19,"सरकारी डिजाइनमा मात्र दाताले घर बनाउन पाउने 
http://t.co/rorj01ElOO http://t.co/v0AURtJdz3"
2015-05-19,साची आज राति चै कति कम्पन भयेछ?
2015-05-19,टिएल सरेन हौ।।
2015-05-19,"""सोसिअल मेडिया र क्राइसिस म्यानेजमेन्ट"" भन्नि कुरो , अनलाइन मा पढ्ने मेसो अर्न पर्यो, लौ न जानकार खोइ छ भने सहयोग पाम :))"
2015-05-19,बोकाले दाँई हुन्न बुढा गोरु नै खोज ....!!
2015-05-19,"lunch मा पनि आलु र बन्दा,
dinner मा पनि आलु र बन्दा
हात भरी ठेला उठ्यो भत्किएको घर को जग खन्दा खन्दा ।।"
2015-05-19,लुँईटेल बुढाका दिन फिरे गाँठे .... साहुको रीन तिरेसी यिनी उफ्रीमा पाफ्री चारकुने आँगन भत्केमा भत्क्योस लच्केमा लच्क्योस भनिरा'रछन् !!
2015-05-19,काठमान्डुतिर भुईचालो जाँदैछ कि रोकियो???
2015-05-19,शुभविहानी साथीहरू
2015-05-19,डाम्नाहरुले TL अतिरन्जित गरेछ्न | अब यस्तो नगर्न सचेत गरिन्छ | #नेपालप्रहरी
2015-05-19,एउटा खुट्टाँ चै रौ खौरेनौ कि पंखा बिउरो नुहाउँदा नुहाउँदै 😂😂😂
2015-05-19,@Phuchhe5 @Abhimanyuth ए ए राता मकै गल्लीको कुता ले पनि माया पिरिम भने पछि त म त निकै पछाडी परेछु त होउ
2015-05-19,बुझ्दिन मैले तिम्रा डबल स्ट्यान्डर कुराहरु :डि
2015-05-19,@khimlalp भनेसी अगष्ट सम्म त्यतै मरिबक्सोस
2015-05-19,5 गते ठुलो भुकम्पले हल्राउछ भन्थे केहि पनि हल्राएन ।
2015-05-19,"सर लै नमस्ते अरिन्छ, अनि सुतिन्छा , सर गुड मर्निङ्ग :))"
2015-05-19,@pearl_nepal अहिलेको अहिले परिवर्तन भो बा !
2015-05-19,@isitaram1 शुभ प्रभात सँगै शुभ दिनको कामना तपाईलाई पनि 🙏🙏
2015-05-19,"जिबनको यात्रा प्राय असफलताबाट सुरु हुन्छ । 

शुभ प्रभात शुभ दिन"
2015-05-19,"म त लागेँ अब भोजपुर ,केही दिनको लागी।"
2015-05-19,@b_luitel हिं बरै अगस्ट सम्म छोरो बेफुर्सदिलो छ
2015-05-19,@deepaksir हो के उट को दूध दुइने भकारो सोर्ने कमता मजा त आउदैन
